request	Target_District:token	Target_District:id	Target_District	#_of_Records	Total_$
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=83	is-t-tdis	83	83	2	2767.44
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=31	is-t-tdis	31	31	2	2547.65
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H83	is-t-tdis	H83	H83	1	2044.14
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=68	is-t-tdis	68	68	2	2000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=75	is-t-tdis	75	75	1	2000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=99	is-t-tdis	99	99	2	2000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H77	is-t-tdis	H77	H77	1	1997.06
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=34	is-t-tdis	34	34	10	1946.70
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=97	is-t-tdis	97	97	4	1848.70
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H87	is-t-tdis	H87	H87	1	1626.47
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=38	is-t-tdis	38	38	3	1612.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H92	is-t-tdis	H92	H92	1	1498.53
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=48	is-t-tdis	48	48	2	1473.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=108	is-t-tdis	108	108	2	1307.23
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=50	is-t-tdis	50	50	2	1233.11
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=16	is-t-tdis	16	16	2	1199.17
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=H95	is-t-tdis	H95	H95	1	1057.35
"dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis= 120"	is-t-tdis	" 120"	" 120"	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=102	is-t-tdis	102	102	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=105	is-t-tdis	105	105	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=113	is-t-tdis	113	113	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=13	is-t-tdis	13	13	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=47	is-t-tdis	47	47	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=59	is-t-tdis	59	59	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=69	is-t-tdis	69	69	1	1000.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=24	is-t-tdis	24	24	2	973.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=70	is-t-tdis	70	70	6	595.42
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=21	is-t-tdis	21	21	1	500.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=33	is-t-tdis	33	33	1	500.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=42	is-t-tdis	42	42	1	500.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=43	is-t-tdis	43	43	1	500.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=111	is-t-tdis	111	111	1	473.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=12	is-t-tdis	12	12	1	473.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=109	is-t-tdis	109	109	1	307.23
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=76	is-t-tdis	76	76	1	267.44
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=14	is-t-tdis	14	14	1	199.17
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=19	is-t-tdis	19	19	5	122.42
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=54	is-t-tdis	54	54	1	0.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=71	is-t-tdis	71	71	3	0.00
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=72	is-t-tdis	72	72	3	0.00
"dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=DISTRICT 110"	is-t-tdis	"DISTRICT 110"	"DISTRICT 110"	1	0.00
"dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=DISTRICT 6"	is-t-tdis	"DISTRICT 6"	"DISTRICT 6"	6	0.00


