request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=S&c-r-id=7837	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4859	"SENATE DISTRICT 029"	288	95659.55
s=NC&c-exi=1&c-r-ot=S&c-r-id=45542	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4868	"SENATE DISTRICT 038"	215	95045.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=70673	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4851	"SENATE DISTRICT 021"	129	91124.70
s=NC&c-exi=1&c-r-ot=S&c-r-id=70675	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4878	"SENATE DISTRICT 048"	323	87720.84
s=NC&c-exi=1&c-r-ot=S&c-r-id=7795	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4845	"SENATE DISTRICT 015"	297	86793.77
s=NC&c-exi=1&c-r-ot=S&c-r-id=33122	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4832	"SENATE DISTRICT 002"	283	86527.83
s=NC&c-exi=1&c-r-ot=S&c-r-id=4878	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	134	85527.35
s=NC&c-exi=1&c-r-ot=S&c-r-id=42271	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4843	"SENATE DISTRICT 013"	370	85493.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=33090	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4879	"SENATE DISTRICT 049"	167	84350.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=9773	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4879	"SENATE DISTRICT 049"	243	84069.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=55156	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4864	"SENATE DISTRICT 034"	101	83096.60
s=NC&c-exi=1&c-r-ot=S&c-r-id=70830	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4837	"SENATE DISTRICT 007"	95	82825.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=61092	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4860	"SENATE DISTRICT 030"	211	82598.51
s=NC&c-exi=1&c-r-ot=S&c-r-id=4883	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4857	"SENATE DISTRICT 027"	189	82428.55
s=NC&c-exi=1&c-r-ot=S&c-r-id=51191	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4840	"SENATE DISTRICT 010"	242	81852.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=61099	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4867	"SENATE DISTRICT 037"	322	81134.51
s=NC&c-exi=1&c-r-ot=S&c-r-id=14844	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4850	"SENATE DISTRICT 020"	161	80990.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=14850	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4872	"SENATE DISTRICT 042"	142	80364.77
s=NC&c-exi=1&c-r-ot=S&c-r-id=10706	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4858	"SENATE DISTRICT 028"	317	79736.33
s=NC&c-exi=1&c-r-ot=S&c-r-id=4873	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4860	"SENATE DISTRICT 030"	253	79548.90
s=NC&c-exi=1&c-r-ot=S&c-r-id=12780	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4853	"SENATE DISTRICT 023"	595	79407.85
s=NC&c-exi=1&c-r-ot=S&c-r-id=14846	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4852	"SENATE DISTRICT 022"	281	79367.18
