request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=H&c-r-id=4922	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4776	"HOUSE DISTRICT 067"	56	26057.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70790	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4716	"HOUSE DISTRICT 007"	142	25872.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=27091	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4735	"HOUSE DISTRICT 026"	57	25837.69
s=NC&c-exi=1&c-r-ot=H&c-r-id=28322	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4816	"HOUSE DISTRICT 107"	52	25775.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=27098	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4746	"HOUSE DISTRICT 037"	76	25560.16
s=NC&c-exi=1&c-r-ot=H&c-r-id=47699	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4783	"HOUSE DISTRICT 074"	63	25370.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=47696	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4778	"HOUSE DISTRICT 069"	42	25177.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=55180	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4724	"HOUSE DISTRICT 015"	94	25030.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=14817	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4752	"HOUSE DISTRICT 043"	127	24845.17
s=NC&c-exi=1&c-r-ot=H&c-r-id=49645	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4751	"HOUSE DISTRICT 042"	99	24820.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=61018	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4785	"HOUSE DISTRICT 076"	125	24601.18
